ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (lbs)","Length (in)","Width (in)","Height (in)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Meta: woodmart_sguide_select","Meta: woodmart_price_unit_of_measure","Meta: woodmart_total_stock_quantity","Meta: _product_360_image_gallery","Meta: _woodmart_whb_header","Meta: _woodmart_main_layout","Meta: _woodmart_sidebar_width","Meta: _woodmart_custom_sidebar","Meta: _woodmart_new_label","Meta: _woodmart_new_label_date","Meta: _woodmart_swatches_attribute","Meta: _woodmart_related_off","Meta: _woodmart_exclude_show_single_variation","Meta: _woodmart_product_video","Meta: _woodmart_product_hashtag","Meta: _woodmart_single_product_style","Meta: _woodmart_thums_position","Meta: _woodmart_extra_content","Meta: _woodmart_extra_position","Meta: _woodmart_product_design","Meta: _woodmart_product-background","Meta: _woodmart_hide_tabs_titles","Meta: _woodmart_product_custom_tab_title","Meta: _woodmart_product_custom_tab_content_type","Meta: _woodmart_product_custom_tab_content","Meta: _woodmart_product_custom_tab_html_block","Meta: _woodmart_product_custom_tab_title_2","Meta: _woodmart_product_custom_tab_content_type_2","Meta: _woodmart_product_custom_tab_content_2","Meta: _woodmart_product_custom_tab_html_block_2","Meta: _wpb_vc_js_status","Meta: _wpb_post_custom_layout","Meta: rs_page_bg_color"
10389,simple,,,"Milk Coffee",1,0,visible,"A rich and bold Vietnamese coffee made with strong brewed Robusta coffee and sweetened condensed milk, served over ice. This drink is known for its intense flavor, creamy texture, and perfect balance of sweetness and bitterness.","A rich and bold Vietnamese coffee made with strong brewed Robusta coffee and sweetened condensed milk, served over ice. This drink is known for its intense flavor, creamy texture, and perfect balance of sweetness and bitterness.",,,taxable,,1,,,0,0,,,,,1,,,15,Coffee,"Memories & emotions",,http://167.99.68.7/wp-content/uploads/2025/03/5c7a43138d9740941d0326a156551135.jpg,,,,,,,,,0,,Color,Brown,1,1,Size,"M, S",1,1,Brand,"The Coffee House",1,1,none,,,,none,default,default,none,,,,,,,,inherit,inherit,,after,inherit,,,,text,,,,text,,,false,default,
10390,simple,,,Cacao,1,0,visible,"Cafe Cacao is a delightful blend of rich coffee and cocoa powder, creating a harmonious balance of bitterness, creaminess, and sweetness. It is often mixed with condensed milk or fresh milk for a smooth and indulgent taste.","Cafe Cacao is a delightful blend of rich coffee and cocoa powder, creating a harmonious balance of bitterness, creaminess, and sweetness. It is often mixed with condensed milk or fresh milk for a smooth and indulgent taste.",,,taxable,,1,,,0,0,,,,,1,,10,12,Coffee,"Memories & emotions",,http://167.99.68.7/wp-content/uploads/2025/03/4d5d912c1f298a5ebd6e31e09a1381bd.jpg,,,,,,,,,0,,Brand,"The Coffee House",1,1,Color,Brown,1,1,Size,L,1,1,none,,,,none,default,default,none,,,,,,,,inherit,inherit,,after,inherit,,,,text,,,,text,,,false,default,
10391,simple,,,Espresso,1,0,visible,"A strong, concentrated coffee brewed by forcing hot water through finely-ground coffee beans.","A strong, concentrated coffee brewed by forcing hot water through finely-ground coffee beans.",,,taxable,,1,,,0,0,,,,,1,,,14,Coffee,"Memories & emotions",,http://167.99.68.7/wp-content/uploads/2025/03/2ee8124cf986d29f499202fac499698f.jpg,,,,,,,,,0,,Brand,Starbucks,1,1,Color,Brown,1,1,Size,"L, M, S",1,1,none,,,,none,default,default,none,,,,,,,,inherit,inherit,,after,inherit,,,,text,,,,text,,,false,default,
10393,simple,,,Americano,1,0,visible,"Espresso diluted with hot water, resulting in a milder flavor.","Espresso diluted with hot water, resulting in a milder flavor.",,,taxable,,1,,,0,0,,,,,1,,9,11,Coffee,"Memories & emotions",,http://167.99.68.7/wp-content/uploads/2025/03/8bcee16eeefb628704631716e9b267fe.jpg,,,,,,,,,0,,Brand,Starbucks,1,1,Color,Brown,1,1,Size,"M, S",1,1,none,,,,none,default,default,none,,,,,,,,inherit,inherit,,after,inherit,,,,text,,,,text,,,false,default,
10394,simple,,,Latte,1,0,visible,"Espresso mixed with steamed milk and topped with a light layer of foam.","Espresso mixed with steamed milk and topped with a light layer of foam.",,,taxable,,1,,,0,0,,,,,1,,,12,Coffee,"Memories & emotions",,http://167.99.68.7/wp-content/uploads/2025/03/f8adb1dffd0c001f8627afc9c2d043d3.jpg,,,,,,,,,0,,Brand,Highlands,1,1,Color,Brown,1,1,Size,"L, M, S",1,1,none,,,,none,default,default,none,,,,,,,,inherit,inherit,,after,inherit,,,,text,,,,text,,,false,default,
10395,simple,,,Cappuccinom,1,0,visible,"A balanced mix of espresso, steamed milk, and a thick layer of milk foam.","A balanced mix of espresso, steamed milk, and a thick layer of milk foam.",,,taxable,,1,,,0,0,,,,,1,,,11,Coffee,"Memories & emotions",,http://167.99.68.7/wp-content/uploads/2025/03/65fbac0b91f70efa86bf0afa147f9ff9.jpg,,,,,,,,,0,,Brand,Starbucks,1,1,Color,Brown,1,1,Size,S,1,1,none,,,,none,default,default,none,,,,,,,,inherit,inherit,,after,inherit,,,,text,,,,text,,,false,default,
10396,simple,,,"Matcha Latte",1,0,visible,"Matcha mixed with milk (hot or cold), creating a creamy and refreshing taste.","Matcha mixed with milk (hot or cold), creating a creamy and refreshing taste.",,,taxable,,1,,,0,0,,,,,1,,14,17,Matcha,Nature,,http://167.99.68.7/wp-content/uploads/2025/03/828b48d986671eb48207f9610732431d.jpg,,,,,,,,,0,,Brand,Highlands,1,1,Color,Green,1,1,Size,"L, M, S",1,1,none,,,,none,default,default,none,,,,,,,,inherit,inherit,,after,inherit,,,,text,,,,text,,,false,default,
10398,simple,,,"Iced Matcha Latte",1,0,visible,"A cold version of matcha latte, often served with ice for extra refreshment.","A cold version of matcha latte, often served with ice for extra refreshment.",,,taxable,,1,,,0,0,,,,,1,,,12,Matcha,Nature,,http://167.99.68.7/wp-content/uploads/2025/03/63d181af3bf4b5c6aadef67317f06419.jpg,,,,,,,,,0,,Brand,Starbucks,1,1,Color,Green,1,1,Size,M,1,1,none,,,,none,default,default,none,,,,,,,,inherit,inherit,,after,inherit,,,,text,,,,text,,,false,default,
10399,simple,,,"Matcha Espresso Fusion",1,0,visible,"A combination of matcha and espresso, balancing the bitterness of coffee with the smoothness of green tea.","A combination of matcha and espresso, balancing the bitterness of coffee with the smoothness of green tea.",,,taxable,,1,,,0,0,,,,,1,,11,15,Matcha,Nature,,http://167.99.68.7/wp-content/uploads/2025/03/978440fe09d65d3d1c461e614bd150d5.jpg,,,,,,,,,0,,Brand,"The Coffee House",1,1,Color,Green,1,1,Size,"L, M, S",1,1,none,,,,none,default,default,none,,,,,,,,inherit,inherit,,after,inherit,,,,text,,,,text,,,false,default,
10400,simple,,,"Matcha Smoothie",1,0,visible,"Matcha blended with milk, ice, and sometimes banana or avocado for a creamy texture.","Matcha blended with milk, ice, and sometimes banana or avocado for a creamy texture.",,,taxable,,1,,,0,0,,,,,1,,,12,Matcha,Nature,,http://167.99.68.7/wp-content/uploads/2025/03/ee1c1130a855b4b6f97c4f8edbd82586.jpg,,,,,,,,,0,,Brand,Highlands,1,1,Color,Green,1,1,Size,"L, S",1,1,none,,,,none,default,default,none,,,,,,,,inherit,inherit,,after,inherit,,,,text,,,,text,,,false,default,
